WORKSHOP NAME ,Workshop #1,Workshop #2,Workshop #3,MAX STUDENTS,Location ,Description
Binary Bracelets ,x,,,15,N302,"Hosted by Girls Who Code, binary bracelets is a workshop where people can make bracelets with their friends (using binary code for the beads) and listen to music. Lemonade will be provided! "
Slime and String Bracelet making,x,,x,15,C213,A workshop where people can make either slime or string bracelets or both.
Scavenger Hunt,x,,,25,C303,"Solve riddles, complete tasks, and find hidden items to win before your peers do!"
Altoid Wallets and Zootopia,,x,,10,C405,"Watch zootopia while creating altoid wallets by decorating altoid containers with collage, stickers, beads and mirrors."
Flower Making and a Movie!,x,,,20,C404,"Chill workshop where we will make tissue paper flowers, drink hot coco and watch In the Heights or Coco (tbd) "
Sketchbook binding,x,,,15,C407,"We will be using Japanese stab bookbinding to make our very own sketchbooks, along with making stickers to decorate the sketchbooks with!!"
Pigments & Flames with RU!,,x,,25,C323,"Ever felt frustrated by not having just the right color? You're in luck, because you can make your own pigments with just a few chemical reactions! Join RU Science for fun presentations, making art with your pigments, and coloring flames on the Bunsen burner! It's going to be a blast... RU coming?"
MYO Candles with RU!,x,,,20,C323,Ever wanted to make a candle that is truly U? Look no further! Join RU Science for fun presentations and a completely customizable candle - experiment with different colors and scents! Can't wait to see U there! 
Shimmr- Build Your Own Press On Set !!,,,x,10,C407,We will have many different designs ready in all sizes so that YOU can go home with a CUSTOM PRESS ON SET! Please come with bare nails so that you can accurately size - see you there !
Soda and Sketch,x,,,15,C309,"Come join us to doodle, sketch or paint! Soda will be provided. Hope to see you there!"
Build Your House ,,,x,10,N308,Participants will build a 3d model of their dream house with materials like popsicle sticks and styrofoam. They can then customize/paint them. 
Games of Hearts,x,,,20,N306,"Hearts is an interactive art game of cards. It involves strategy, skill, expression, interpretation, and emotional engagement. ""Games are defined by their interactive nature, which many argue is their unique contribution to art. The dynamic flow of the game, the anticipation, the bluffs, and the moments of calculated risk all contribute to an experience designed to evoke an emotional or intellectual response in the participants."""
Art of Skateboarding ,x,,,15,C308,"Discussing the intersection of skateboarding, art, and fashion, we will watch skate videos and examine different aspects of skateboarding culture. "
The Art of Ping Pong,x,,,20,C339,"Step into a workshop where movement, rhythm, and creativity collide! The Art of Ping Pong invites participants to experience ping pong not just as a game, but as an art form. Through friendly matches, playful challenges, and collaborative play, you’ll explore balance, timing, focus, and flow. No experience required—just curiosity and a willingness to rally. Whether you’re a seasoned player or picking up a paddle for the first time, come play, connect, and discover the art hidden in every bounce. 🏓"
Making Legos and Watching Derry Girls,,,x,20,C304,"Join us for a screening of selected episodes of Derry Girls, the beloved comedy series set in 1990s Northern Ireland. While we watch, we’ll assemble fun animal and flower lego figures you can take home! Nothing pairs better with sharp wit and heartfelt storytelling than building something brick by brick. Whether you’re a longtime fan of the show or discovering it for the first time, this workshop invites you to enjoy both the comedy on screen and the joy of legos side by side."
Towel Origami,,x,,20,C324,"You've done paper origami before, but have you done towel origami? In this workshop we're going to be making origami bears, turtles, swans, and more, all from towels! No prior experience with towel origami is required for this workshop, just have fun folding! 🤩"
Rate Animation film 'Look Back' with Snacks ,,x,,15,N215,"Watch/Rate animated movie 'Look Back' while eating cookies, drinking tea, and making art. Cookies, tea, and art supplies will be provided."
,,,,,,
Collaging and Tea with HLAB,,x,,15,C204 HS Library,Come make collages in the library with old books and drink tea.
Benito and Bracelets,x,x,,20,C304,"come join us for an hour of bracelets, bonding, and bad bunny!"
Botanical Illustration ,,x,,20,C303,"At Botanical Illustration, enjoy nice cup of tea and draw plants and flowers using colored pencils and graphite!"
Canvas Mural Project with Richard Lo,triple,triple,triple,10,N316,"Join us for a unique opportunity to collaborate with renowned mural artist and author Richard Lo as we create a large-scale canvas mural celebrating Asian heritage! Mr. Lo is a distinguished artist known for his impactful public murals throughout Chicago and its suburbs. You may sign up for any or all of the three workshops to work alongside Mr. Lo and your peers. The completed mural will become a permanent piece of public art displayed on campus. This promises to be a hands-on, collaborative, meaningful, and fun experience!"
Exquisite Corpse ,,x,x,20,C309,"* I can run a workshop, or be on hand for supervision and/or supply needs throughout the day. I want to submit this though, in case we are running short on workshops. I can run this as many or as few times as needed/wanted. 

**This description is for doing this activity with clay, but can be adapted to use simpler materials (like markers/pencils on paper) if that's a better fit. 


In this workshop, the collaborative drawing game made popular by Surrealist artists in the 1920s, is adapted for working with clay! Participants make creatures one section at a time, and hide their work, until the creatures are revealed at the end. 


Process:

3 tables are set up in the room with the following: 
one canvas/cloth runner/tablecloth (for under the clay)
2 smaller canvas/cloth pieces (for covering the clay)
clay, tools, and water for sculpting (recycled clay is fine, if available)

The hour is divided as follows: 
5 minutes: attendance/introduction
15 minutes: create head/neck and cover
15 minutes: create middle section and cover
15 minutes: create bottom section and cover
10 minutes: reveal and clean up 

Students divide into 3 groups, with one group at each of the 3 tables. 

Students in each group work together to create a creature’s head and neck out of clay, flat against the table, facing up. Time is called, then they’ll cover their work with cloth, except for a little bit of the neck. 

Then the groups move to a different table to create a creature’s mid-section, connected to the neck that’s visible under the cloth cover. When time is called, this section is covered as well, except for a small amount that the next group can connect to. 

Then the groups move to the table they have not yet worked at, to create the bottom third of the creature. When time is called, they remove the two covers, and see the whole creature. Groups are invited to walk around the room to see the creations at the other tables, before cleaning up the clay and the tools. Clay can be recycled at the end. "
Madlibbing with Ouroboros!,,,x,25,C318,"Students will write short stories and poems and then selectively remove words to create a madlib for friends to fill out!
"
Perler Beads and Cocoa,x,,x,25,C405,Come create Perler bead art and relax with hot cocoa!
Crumbl + Tote Bag Decorating,,,x,10,C324,"In our workshop, we will provide Crumbl cookies and tote bag decorating opportunities. "
I’m Good. You Good. We Good: Vision Boarding to Practice Self-Compassion,x,,,15,C307,"Humans are hardwired for judgment… It keeps us safe, yet it can have lots of negative impacts. Self-Compassion is a practical antidote. Science even tells us 20 seconds a day can have benefits. In this workshop, we are going to make vision boards that focus on compassion and acceptance for ourselves. We’ll use magazines, stickers, and everyday items to create our boards, which are take-home reminders that we’re good. Come ready to create and spend some time appreciating yourself.  "
Stress balls and disney,,,x,20,C306,Making stress balls while watching a disney show or movie!
Diamond Painting & Bluey,x,x,,15,C117,"We'll spend our time creating diamond painted stickers while watching episodes of Bluey in the background.  There will be tea/hot chocolate available and it will be a time to relax, flex some fun creative muscles and walk away with a new sticker or 2!"
A Peek In The Studio: Building a track from scratch before your eyes with Alby Odum and Jack Murray,x,,,20,N214,"That seemingly trivial 4 minute house, pop, hip-hop, or RnB beat has more going on than you might realize. Come explore the power of music production using Ableton and take a peek inside with Alby Odum (Professor of Music Technology, Joliet Junior College) and Jack Murray (Ableton Education Specialist), as they show you some of the elements that go into tracks from your favorite genres. USING LAB STUDENTS AS PARTICIPANTS, Alby and Jack will demonstrate how to build a song that incorporates audio loops, software as well as live instruments, and vocals. This session will start from an empty canvas and build a full track right before your eyes. Students are encouraged to bring your instruments (or your voice) to participate! A great session!"
The BEATLAB Experience with Brian Boncher,,x,,20,N214,"Ever wondered how your favorite songs are made? Brian Boncher, one of Chicago’s premiere house DJs, music producers and remix artists, pulls back the curtain to give you an inside glimpse of some of the elements that go into tracks from your favorite genres. But, in BEATLAB, you won’t just listen to music — you’ll CREATE it. Join Brian Boncher for a high-energy, hands-on workshop where students become real beatmakers, build a song together, and learn the secrets behind today’s biggest hits. No experience needed — just bring your creativity and your ears. A session that you won’t want to miss!"
Task Party,double,double ,,25,N308,"Using artist Oliver Herring's format of a ""Task Party"", this open-ended and interactive workshop asks participants to contribute a task to the collective pool, and then they pull a task and interpret it however they want with the provided materials. https://oliverherringstudio.com/section/363344-TASK.html"
Henna and Islam Hand to Hand,,,x,25,C303,"Come practice henna on each other and explore its beautiful history in Islamic culture. Henna has been a cherished tradition in Muslim communities for centuries, used to celebrate weddings, Eid, and special occasions as a symbol of joy and blessing. We'll learn about henna's cultural significance, try traditional patterns, and discover connections to Islamic calligraphy. No experience needed. Open to everyone."
Making Memory-Scented Candles,x,x,,10,C217,"Explore the surprising link between scent and your past experiences, then make your own custom candle inspired by a personal moment."
Bedazzling and Baked Goods,,x,x,15,C406,"Come add some sparkle! Bring any item to bedazzle (hairbrushes, makeup, headphones, and more). And what's a fun workshop without a little snack? Don't miss out on the cookies! "
DIY Felt Name Banners,,x,,15,C306,"Looking for a fun way to spice up your space? Come hang out and create your very own handmade felt name banner! These triangle-style banners are the perfect addition to any room, and the best part is they’re super easy and fun to make. We’ll be cutting out custom letters and assembling banners that show off your personal style using ribbons, pearls, and other fun decorations to make it yours. There is absolutely no sewing required since we’ll be using fabric glue to keep things simple and mess-free. Whether you want to spell out your name or a favorite word, you’ll leave with a finished piece of decor that's ready to hang."
Arts Fest Mural!,triple,triple,triple,10,TBD! Meet in Ms. Campos' office,"Help create the 2026 Arts Fest Mural! During both activity blocks, you’ll get to trace and paint the mural, leaving your mark on the lab and beautifying the school! (Wear painting clothes)"
Folded Map with Tonika Lewis Johnson,double,double,,25,N306,"MAY NEED REVISION, PENDING INPUT FROM TONIKA:

Students will engage in a hands-on workshop with MacArthur ""genius"", Kistenbroker Artist in Resident, and ArtsFest keynote speaker Tonika Lewis Johnson. "
3D Ceramic Decoration,x,,,10,N320,We will be decorating and carving pre-made pots with clay to create unique 3D designs as we snack and watch the Lego Batman movie.
Puzzles & Cocoa in the Library,,,x,25,C204 HS Library ,"Learn some fun facts about the history of puzzles and brainteasers. We will have a variety of puzzles that you should be able to put together in an hour while enjoying a cup of hot cocoa (or tea!)
"
Scraps + Cinema,double,double ,,15,N318,"Poster boards, magazines, pencils, stickers, coloring pages and markers will be available for each person to be able to create any type of collage that they want while a movie or music plays in the background."
Jewelry making while watching movie,,,x,20,C308,Making charm bracelets/necklaces while watching Ten Things I Hate About You!
Disability Focused Zine Creation,x,x,,25,C318,"In this workshop, you will create a Zine (small paper magazine) about disability advocacy, disability in politics, disabled famous disabled people, and disabled artists. You will also learn about the importance of zines throughout history and in advocating and social justice movments along with how zines are used in the disabality justice movement."
Tea + Face/body pain,,,x,25,C309,"We will have a variety of teas to brew and drink as well as face and body paint and brushes to make cool designs and temporary ""tatooos"". "
Learn to Crochet,,x,,15,C322,Learn how to start a crochet piece and the basic stitches!
Crochet and Chill,x,,,25,C322,"Here, you can learn to crochet stuffed animals by learning a variety of important stitches that can help with any future projects you decide to do! No prior experience is required. "
Scrapbooking Fun!,,,x,20,C123,"Come spend a chill session scrapbooking with us! Focus on a specific event, week, or day to commemorate or just decorate the cover and a few pages in your book! Materials, music, and snacks will be provided!"
Making The Muppet Movie,,,x,15,C121,Watching the the Muppet Movie and using air dry clay to make whatever you want!
"Fans, Ribbons, & Veil Poi ",,,x,10,Blaine Theater S201,"Enjoy dancing? Enjoy a long ribbon? What about a big fan? If so, then this is the right workshop for you! In this workshop, students will be introduced to two different types of fans used in dance: veil fans and traditional Chinese dance fans. We’ll also have long ribbons like those used in rhythmic gymnastics, as well as veil poi. Absolutely no experience is required, but if you happen to have other dancing skills, you’ll be able to apply them in this workshop. "
Visual Arts/Art History,x,,x,15,S211,"The Art History aspect of the workshop would be educational, beginning around Modernism. Around 1870s Impressionism to the late 20th century. We would provide a detailed background and analysis for all of the art movements/styles that we discuss, and then we would lead participants in a drawing exercise where they are encouraged to emulate the style of a modern art movement of their choice (Cubism, Fauvism, Surrealism, Abstract Expressionism, etc.)."
Gelli Plate Printing,,,x,16,N318,"Loosen up, get a little messy, make a little art.
In this workshop you’ll learn how to loosen up and let go through the creative process of one of a kind printmaking.
Perfect for the art curious, art afraid, uptight artsy types, and advanced artists of all types.
Get loose, be free, listen to music, and make some art."
